Tier,Weight Bracket,Dimensions,UK (£),DE (€),FR (€),IT (€),ES (€),NL (€),
Small envelope,<= 80g,<= 20x15x1 cm,,,,,,,
Standard envelope,<= 60g,<= 33x23x2.5 cm,,,,,,,
Standard envelope,<= 210g,<= 33x23x2.5 cm,,,,,,,
Standard envelope,<= 460g,<= 33x23x2.5 cm,,,,,,,
Large envelope,<= 960g,<= 33x23x4 cm,,,,,,,
Extra-large envelope,<= 960g,<= 33x23x6 cm,,,,,,,
Small parcel,<= 150g,<= 35x25x12 cm,,,,,,,
Small parcel,<= 400g,<= 35x25x12 cm,,,,,,,
Small parcel,<= 900g,<= 35x25x12 cm,,,,,,,
Small parcel,<= 1.4kg,<= 35x25x12 cm,,,,,,,
Small parcel,<= 1.9kg,<= 35x25x12 cm,,,,,,,
Small parcel,<= 3.9kg,<= 35x25x12 cm,,,,,,,
Standard parcel,<= 150g,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 400g,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 900g,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 1.4kg,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 1.9kg,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 2.9kg,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 3.9kg,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 5.9kg,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 8.9kg,<= 45x34x26 cm,,,,,,,
Standard parcel,<= 11.9kg,<= 45x34x26 cm,,,,,,,
Small oversize,<= 760g,<= 61x46x46 cm,,,,,,,
Small oversize,<= 1.26kg,<= 61x46x46 cm,,,,,,,
Small oversize,<= 1.76kg,<= 61x46x46 cm,,,,,,,
Small oversize,> 1.76kg,<= 61x46x46 cm,,,,,,,
Standard oversize,<= 760g,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 1.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 2.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 3.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 4.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 9.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 14.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 19.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 24.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,<= 29.76kg,<= 120x60x60 cm,,,,,,,
Standard oversize,> 29.76kg,<= 120x60x60 cm,,,,,,,
Large oversize,<= 4.76kg,> 120x60x60 cm,,,,,,,
Large oversize,<= 9.76kg,> 120x60x60 cm,,,,,,,
Large oversize,<= 14.76kg,> 120x60x60 cm,,,,,,,
Large oversize,<= 19.76kg,> 120x60x60 cm,,,,,,,
Large oversize,<= 24.76kg,> 120x60x60 cm,,,,,,,
Large oversize,<= 31.5kg,> 120x60x60 cm,,,,,,,
Large oversize,> 31.5kg,> 120x60x60 cm,,,,,,,
Special oversize,< 20kg,Longest side > 175cm or girth > 360cm,,,,,,,
Special oversize,< 30kg,Longest side > 175cm or girth > 360cm,,,,,,,
Special oversize,< 40kg,Longest side > 175cm or girth > 360cm,,,,,,,
Special oversize,< 50kg,Longest side > 175cm or girth > 360cm,,,,,,,
Special oversize,< 60kg,Longest side > 175cm or girth > 360cm,,,,,,,
Special oversize,>= 60kg,Longest side > 175cm or girth > 360cm,,,,,,, 
